0	10748
1	10243
2	10674
3	10488
4	10134
5	10119
6	10614
7	10556
8	10855
9	10223
10	10084
11	10511
12	10133
13	10536
14	10508
15	10138
16	10465
17	10109
18	10306
19	10886
20	10058
21	10316
22	10248
23	10105
24	10443
25	10520
26	10099
27	10404
28	10184
29	10285
30	10680
31	10207
32	10375
33	10160
34	10493
35	10479
36	10157
37	10664
38	9864
39	10617
40	10288
41	10404
42	10165
43	10275
44	10515
45	10281
46	10509
47	10222
48	10197
49	10484
50	10442
51	10672
52	10177
53	10463
54	10424
55	10535
56	10388
57	10566
58	10576
59	9858
