0	13467
1	11910
2	11224
3	10795
4	10863
5	10662
6	10817
7	13754
8	15911
9	24337
10	44650
11	51201
12	45624
13	43584
14	51211
15	50592
16	46453
17	38196
18	27707
19	19039
20	18996
21	18356
22	17090
23	15690
