41173	60.18639	24.93616
66009530	41.71699	-88.0072
75859359	42.54654	-83.7849
19196	69.49592	19.77374
253	12.98225	77.567
139213683	40.18193	-75.51655
61752	42.71915	-84.44623
52725486	33.67733	-117.86093
52122	39.23027	-75.57559
22567	42.36634	-71.06352
12971	1.32318	103.71009
12972	1.32216	103.71323
725	37.57888	-122.33369
724	37.58696	-122.34563
31253	39.93184	116.26909
19967	34.074	-118.37726
37003	61.17738	22.59982
19965	34.0756	-118.37667
41823	32.63959	-96.82312
137872991	39.84482	-75.53755
35811	34.13927	-118.60105
15005	60.33687	25.48005
274175	60.19972	24.79246
274177	60.21726	24.80804
95687	37.78052	-122.4127
956	40.67079	-73.84832
35813	34.13968	-118.60082
857599	37.55439	-122.02014
20119	61.76907	23.06409
65671239	41.72091	-87.54762
252	12.98163	77.57018
48624884	51.5073	-0.11992
48624883	51.50907	-0.12441
13222759	39.67388	-75.67655
13222755	39.6864	-75.58712
13222757	39.68661	-75.64831
66074965	41.95021	-88.0396
66074966	41.93837	-88.03792
66074967	41.95503	-88.05244
42306	37.71994	-121.93723
201620	37.33339	-122.03335
42304	37.75163	-121.96008
5024	61.46035	23.78132
218367720	35.90417	-78.88346
4146257	55.61921	12.46822
206901	37.33261	-121.84525
4141573	55.64219	12.37178
25503	37.35087	-122.17377
135375	37.40145	-122.08703
135374	37.37415	-122.0471
135373	37.42817	-122.14021
408128	60.16384	24.92837
382588	60.42329	22.38847
382589	60.42494	22.42709
12291	33.99471	-118.46081
8575	37.3349	-121.90995
26763	34.05265	-118.2467
26762	34.05253	-118.24692
1068	65.67181	25.10557
62968	39.4242	-119.75297
185847	61.45077	23.76671
185848	61.40383	23.77264
20193	47.09971	-119.25077
20192	47.09549	-119.20484
64208	60.18186	24.95687
15071	34.11753	-118.23308
15072	34.11687	-118.23692
4753	47.50552	-121.82563
22822	37.77587	-122.41855
40341	39.73294	-105.6909
131779091	42.07037	-72.58879
7124	37.96002	-122.05147
7126	37.95624	-122.0536
234160	37.35986	-121.94061
19730544	40.73446	-73.86116
833453	61.31337	22.1097
5461	37.44085	-122.17415
4953	60.7094	23.76781
4954	60.71988	23.75263
4955	60.73903	23.73538
11586	34.07196	-117.89393
310427	60.24056	24.89505
2752624	59.33244	18.05632
6649973	39.89065	-83.03576
2972	63.27476	25.64282
511116	61.19278	28.77337
5465	37.42368	-122.17517
185425	37.63777	-122.44049
5466	37.41783	-122.15057
185423	37.63876	-122.44137
881	60.2416	25.07096
15568	61.38761	29.26151
8964	37.73885	-122.10748
46133122	51.2537	-0.12341
33216	37.34221	-121.85455
1223	60.46554	26.24892
3671	51.4629	-0.17201
7369038	35.64832	139.53848
47076	37.62259	-121.74999
24351	34.26582	-119.20829
610	62.1696	25.68147
24353	34.25943	-119.21114
24352	34.26739	-119.21291
373654	60.46062	26.19203
131287120	51.18499	7.50892
7723	13.00796	77.55721
7721	13.00933	77.5569
73878575	41.69693	-86.23502
16862	60.17352	24.94918
116587	60.3189	24.96607
51611	42.37305	-72.50961
51612	42.35954	-72.48278
37855827	35.02602	135.9864
2486	34.03401	-117.8391
104949058	31.11303	-97.35559
1056	37.21781	-121.87227
17838	42.2139	-88.72982
450812	65.06241	25.43012
131757762	42.237	-71.60461
42237	64.67184	25.60617
83088	37.77041	-122.4077
52052	39.14968	-75.505
48626562	51.49512	-0.18193
52051	39.16332	-75.51523
35333	41.93167	-70.65833
35332	41.91176	-70.64526
35331	41.94242	-70.65874
72155749	39.89654	-86.30909
